uniform,binominal,poisson,normal,real
0.307887619,510,1032,-0.107436173,2404
0.172533114,501,966,-0.12092267,2204
-0.383283035,495,908,-0.075637254,2404
-0.884531375,510,960,-0.127529825,2501
-0.051329909,505,984,0.012347052,2299
0.393431657,529,1004,-0.000606444,2604
-0.44365755,507,989,0.088358577,2299
0.317133747,486,950,0.140985757,2308
-0.140412291,512,1003,-0.108982553,2203
0.188587743,487,939,-0.243754933,2310
-0.43949263,511,1070,0.040053627,7000
-0.629966682,495,1007,-0.153464384,2604
-0.384663274,510,945,0.017516599,7000
0.373516171,465,993,0.001487811,2604
0.141291216,502,1012,-0.054967372,2605
-0.391033399,498,1022,-0.061674168,2303
-0.349387916,501,1014,-0.027754669,7000
0.142973271,511,973,-0.000656335,2308
-0.992439673,504,1020,-0.152417489,2604
-0.200210865,520,1019,0.132193011,2605
0.220567096,520,970,-0.121298174,2299
0.58162502,514,1066,0.009278373,2605
-0.688944569,495,975,0.021690563,2399
0.86832303,469,1011,-0.052511014,2299
-0.060550519,513,993,-0.075674864,7000
0.879204525,488,997,0.013782428,2999
-0.55507721,512,985,0.038567024,2605
-0.447307399,470,972,-0.163840715,2309
-0.086633264,510,974,-0.087966295,7000
-0.79706765,498,993,-0.038650429,2399
-0.453067968,504,995,-0.096500861,7000
-0.965633341,492,986,0.064093711,2204
0.341627446,497,964,-0.046721337,2605
-0.804575428,487,1009,0.159901344,2799
0.016543442,512,977,-0.04773979,7000
-0.497488211,521,992,-0.087995152,2308
-0.55459051,517,1024,0.016952781,5309
-0.21902118,489,1052,0.196225076,2399
-0.779038806,485,970,0.072907154,7000
0.311231888,502,989,-0.151237156,2604
-0.592646853,506,998,-0.109695878,2604
-0.464111296,483,1004,-0.217834212,2605
-0.582392287,479,1025,-0.006850311,7000
0.410350217,490,995,-0.21622314,2604
-0.51606751,475,989,-0.008866643,5213
0.19837425,494,1032,-0.075724524,2404
0.267410046,455,1045,-0.037388785,7000
-0.17470216,504,1050,0.156966424,7000
